v8-version,7,8,279,23,-node.39,0
shared-library,/usr/local/bin/node,0x400000,0x2a7c000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7fdd4070c000,0x7fdd408f3000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7fdd40afd000,0x7fdd40b17000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fdd40d1c000,0x7fdd40d33000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7fdd40f34000,0x7fdd410d1000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7fdd412d2000,0x7fdd4144b000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7fdd4165b000,0x7fdd4165e000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7fdd4185f000,0x7fdd41886000,0
shared-library,[vdso],0x7fff1865b000,0x7fff1865d000,0
profiler,begin,1000
tick,0x7fdd40b0d6e6,656,0,0x0,6
tick,0xf1c6d0,1728,0,0x0,6
code-creation,Builtin,3,2033,0x134b520,1634,RecordWrite
code-creation,Builtin,3,2062,0x134bba0,457,EphemeronKeyBarrier
code-creation,Builtin,3,2070,0x134bd80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2075,0x134bdc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2079,0x134bf00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2103,0x134bfe0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2111,0x134c100,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2115,0x134c220,130,CallBoundFunction
code-creation,Builtin,3,2119,0x134c2c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2141,0x134c340,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2149,0x134c3c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,2153,0x134c440,890,CallProxy
code-creation,Builtin,3,2156,0x134c7c0,78,CallVarargs
code-creation,Builtin,3,2162,0x134c820,996,CallWithSpread
code-creation,Builtin,3,2166,0x134cc20,990,CallWithArrayLike
code-creation,Builtin,3,2170,0x134d000,103,CallForwardVarargs
code-creation,Builtin,3,2174,0x134d080,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2178,0x134d100,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2182,0x134d1a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2187,0x134d2c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2194,0x134d440,26,ConstructFunction
code-creation,Builtin,3,2198,0x134d460,130,ConstructBoundFunction
code-creation,Builtin,3,2202,0x134d500,28,ConstructedNonConstructable
code-creation,Builtin,3,2206,0x134d520,86,Construct
code-creation,Builtin,3,2210,0x134d580,78,ConstructVarargs
code-creation,Builtin,3,2214,0x134d5e0,1020,ConstructWithSpread
code-creation,Builtin,3,2218,0x134d9e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,2222,0x134de20,142,ConstructForwardVarargs
code-creation,Builtin,3,2244,0x134dec0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2251,0x134df60,328,JSConstructStubGeneric
