v8-version,7,8,279,23,-node.39,0
shared-library,/usr/local/bin/node,0x400000,0x2a7c000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7fdbf7117000,0x7fdbf72fe000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7fdbf7508000,0x7fdbf7522000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fdbf7727000,0x7fdbf773e000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7fdbf793f000,0x7fdbf7adc000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7fdbf7cdd000,0x7fdbf7e56000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7fdbf8066000,0x7fdbf8069000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7fdbf826a000,0x7fdbf8291000,0
shared-library,[vdso],0x7fff8c928000,0x7fff8c92a000,0
profiler,begin,1000
tick,0x7fdbf75186e6,2993,0,0x0,6
tick,0xf1c65f,4032,0,0x0,6
code-creation,Builtin,3,4408,0x134b520,1634,RecordWrite
code-creation,Builtin,3,4514,0x134bba0,457,EphemeronKeyBarrier
code-creation,Builtin,3,4519,0x134bd80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,4523,0x134bdc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4527,0x134bf00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4555,0x134bfe0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4560,0x134c100,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4565,0x134c220,130,CallBoundFunction
code-creation,Builtin,3,4568,0x134c2c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4572,0x134c340,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4577,0x134c3c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,4581,0x134c440,890,CallProxy
code-creation,Builtin,3,4584,0x134c7c0,78,CallVarargs
code-creation,Builtin,3,4588,0x134c820,996,CallWithSpread
code-creation,Builtin,3,4592,0x134cc20,990,CallWithArrayLike
code-creation,Builtin,3,4596,0x134d000,103,CallForwardVarargs
code-creation,Builtin,3,4600,0x134d080,103,CallFunctionForwardVarargs
code-creation,Builtin,3,4604,0x134d100,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,4608,0x134d1a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,4612,0x134d2c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,4617,0x134d440,26,ConstructFunction
code-creation,Builtin,3,4645,0x134d460,130,ConstructBoundFunction
code-creation,Builtin,3,4649,0x134d500,28,ConstructedNonConstructable
code-creation,Builtin,3,4653,0x134d520,86,Construct
code-creation,Builtin,3,4657,0x134d580,78,ConstructVarargs
code-creation,Builtin,3,4661,0x134d5e0,1020,ConstructWithSpread
code-creation,Builtin,3,4665,0x134d9e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,4668,0x134de20,142,ConstructForwardVarargs
code-creation,Builtin,3,4672,0x134dec0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4678,0x134df60,328,JSConstructStubGeneric
code-creation,Builtin,3,4682,0x134e0c0,244,JSBuiltinsConstructStub
code-creation,Builtin,3,4686,0x134e1c0,943,FastNewObject
code-creation,Builtin,3,4689,0x134e580,301,FastNewClosure
code-creation,Builtin,3,4693,0x134e6c0,213,FastNewFunctionContextEval
code-creation,Builtin,3,4697,0x134e7a0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,4702,0x134e880,258,CreateRegExpLiteral
code-creation,Builtin,3,4731,0x134e9a0,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,4739,0x134ec00,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,4743,0x134f0c0,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,4747,0x134f780,866,ConstructProxy
code-creation,Builtin,3,4751,0x134fb00,188,JSEntry
code-creation,Builtin,3,4755,0x134fbc0,188,JSConstructEntry
code-creation,Builtin,3,4758,0x134fc80,188,JSRunMicrotasksEntry
code-creation,Builtin,3,4762,0x134fd40,98,JSEntryTrampoline
code-creation,Builtin,3,4766,0x134fdc0,98,JSConstructEntryTrampoline
code-creation,Builtin,3,4770,0x134fe40,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,4774,0x134ff80,721,StringCharAt
